id,date,index_name,tenor,spread_bps,series_number,bloomberg_ticker
14904,2022-05-20,US_HY,10Y,557.751,38,CDXHY038 BEST Curncy
14912,2022-05-23,US_IG,5Y,88.489,38,CDXIG538 Curncy
14913,2022-05-23,US_HY,5Y,507.6767,38,CDXHY538 BEST Curncy
14914,2022-05-23,US_HY,7Y,533.393,38,CDXHY738 BEST Curncy
14915,2022-05-23,US_HY,10Y,537.065,38,CDXHY038 BEST Curncy
14926,2022-05-24,US_HY,10Y,544.646,38,CDXHY038 BEST Curncy
14925,2022-05-24,US_HY,7Y,541.89,38,CDXHY738 BEST Curncy
14923,2022-05-24,US_IG,5Y,87.197,38,CDXIG538 Curncy
14924,2022-05-24,US_HY,5Y,510.6766,38,CDXHY538 BEST Curncy
14934,2022-05-25,US_IG,5Y,83.243,38,CDXIG538 Curncy
14935,2022-05-25,US_HY,5Y,481.1156,38,CDXHY538 BEST Curncy
14936,2022-05-25,US_HY,7Y,518.316,38,CDXHY738 BEST Curncy
14937,2022-05-25,US_HY,10Y,522.791,38,CDXHY038 BEST Curncy
14948,2022-05-26,US_HY,10Y,497.082,38,CDXHY038 BEST Curncy
14945,2022-05-26,US_IG,5Y,81.48,38,CDXIG538 Curncy
14946,2022-05-26,US_HY,5Y,463.1946,38,CDXHY538 BEST Curncy
14947,2022-05-26,US_HY,7Y,490.767,38,CDXHY738 BEST Curncy
14959,2022-05-27,US_HY,10Y,493.711,38,CDXHY038 BEST Curncy
14958,2022-05-27,US_HY,7Y,486.359,38,CDXHY738 BEST Curncy
14956,2022-05-27,US_IG,5Y,79.394,38,CDXIG538 Curncy
14957,2022-05-27,US_HY,5Y,456.9112,38,CDXHY538 BEST Curncy
14969,2022-05-30,US_HY,7Y,487.875,38,CDXHY738 BEST Curncy
14967,2022-05-30,US_IG,5Y,79.021,38,CDXIG538 Curncy
14968,2022-05-30,US_HY,5Y,457.0844,38,CDXHY538 BEST Curncy
14970,2022-05-30,US_HY,10Y,495.084,38,CDXHY038 BEST Curncy
14981,2022-05-31,US_HY,10Y,498.614,38,CDXHY038 BEST Curncy
14980,2022-05-31,US_HY,7Y,491.894,38,CDXHY738 BEST Curncy
14979,2022-05-31,US_HY,5Y,462.3315,38,CDXHY538 BEST Curncy
14978,2022-05-31,US_IG,5Y,79.531,38,CDXIG538 Curncy
14989,2022-06-01,US_IG,5Y,80.58,38,CDXIG538 Curncy
14990,2022-06-01,US_HY,5Y,462.5267,38,CDXHY538 BEST Curncy
14991,2022-06-01,US_HY,7Y,494.384,38,CDXHY738 BEST Curncy
14992,2022-06-01,US_HY,10Y,500.774,38,CDXHY038 BEST Curncy
14997,2022-06-02,US_IG,5Y,79.771,38,CDXIG538 Curncy
14998,2022-06-02,US_HY,5Y,464.1185,38,CDXHY538 BEST Curncy
14999,2022-06-02,US_HY,7Y,492.43,38,CDXHY738 BEST Curncy
15000,2022-06-02,US_HY,10Y,499.534,38,CDXHY038 BEST Curncy
15006,2022-06-03,US_HY,10Y,509.373,38,CDXHY038 BEST Curncy
15005,2022-06-03,US_HY,7Y,502.34,38,CDXHY738 BEST Curncy
15003,2022-06-03,US_IG,5Y,81.283,38,CDXIG538 Curncy
15004,2022-06-03,US_HY,5Y,471.1651,38,CDXHY538 BEST Curncy
15014,2022-06-06,US_IG,5Y,81.733,38,CDXIG538 Curncy
15015,2022-06-06,US_HY,5Y,477.478,38,CDXHY538 BEST Curncy
15016,2022-06-06,US_HY,7Y,501.172,38,CDXHY738 BEST Curncy
15017,2022-06-06,US_HY,10Y,507.347,38,CDXHY038 BEST Curncy
15025,2022-06-07,US_IG,5Y,81.353,38,CDXIG538 Curncy
15026,2022-06-07,US_HY,5Y,476.935,38,CDXHY538 BEST Curncy
15027,2022-06-07,US_HY,7Y,511.018,38,CDXHY738 BEST Curncy
15028,2022-06-07,US_HY,10Y,516.572,38,CDXHY038 BEST Curncy
15039,2022-06-08,US_HY,10Y,512.259,38,CDXHY038 BEST Curncy
15038,2022-06-08,US_HY,7Y,505.098,38,CDXHY738 BEST Curncy
15036,2022-06-08,US_IG,5Y,83.244,38,CDXIG538 Curncy
15037,2022-06-08,US_HY,5Y,483.102,38,CDXHY538 BEST Curncy
15047,2022-06-09,US_IG,5Y,86.947,38,CDXIG538 Curncy
15048,2022-06-09,US_HY,5Y,495.2539,38,CDXHY538 BEST Curncy
15049,2022-06-09,US_HY,7Y,526.562,38,CDXHY738 BEST Curncy
15050,2022-06-09,US_HY,10Y,532.669,38,CDXHY038 BEST Curncy
15061,2022-06-10,US_HY,10Y,572.551,38,CDXHY038 BEST Curncy
15058,2022-06-10,US_IG,5Y,91.049,38,CDXIG538 Curncy
15059,2022-06-10,US_HY,5Y,525.5216,38,CDXHY538 BEST Curncy
15060,2022-06-10,US_HY,7Y,568.77,38,CDXHY738 BEST Curncy
15072,2022-06-13,US_HY,10Y,600.195,38,CDXHY038 BEST Curncy
15071,2022-06-13,US_HY,7Y,599.269,38,CDXHY738 BEST Curncy
15069,2022-06-13,US_IG,5Y,97.792,38,CDXIG538 Curncy
15070,2022-06-13,US_HY,5Y,569.671,38,CDXHY538 BEST Curncy
15082,2022-06-14,US_HY,7Y,607.106,38,CDXHY738 BEST Curncy
15080,2022-06-14,US_IG,5Y,98.91,38,CDXIG538 Curncy
15081,2022-06-14,US_HY,5Y,580.816,38,CDXHY538 BEST Curncy
15083,2022-06-14,US_HY,10Y,608.324,38,CDXHY038 BEST Curncy
15095,2022-06-15,US_HY,10Y,583.295,38,CDXHY038 BEST Curncy
15094,2022-06-15,US_HY,7Y,580.285,38,CDXHY738 BEST Curncy
15092,2022-06-15,US_HY,3Y,576.723,38,CDXHY338 BEST Curncy
15093,2022-06-15,US_HY,5Y,553.8606,38,CDXHY538 BEST Curncy
15091,2022-06-15,US_IG,5Y,95.603,38,CDXIG538 Curncy
15103,2022-06-16,US_IG,5Y,100.791,38,CDXIG538 Curncy
15104,2022-06-16,US_HY,3Y,576.569,38,CDXHY338 BEST Curncy
15105,2022-06-16,US_HY,5Y,597.035,38,CDXHY538 BEST Curncy
15106,2022-06-16,US_HY,7Y,621.498,38,CDXHY738 BEST Curncy
15107,2022-06-16,US_HY,10Y,622.444,38,CDXHY038 BEST Curncy
15119,2022-06-17,US_HY,10Y,621.666,38,CDXHY038 BEST Curncy
15118,2022-06-17,US_HY,7Y,620.349,38,CDXHY738 BEST Curncy
15117,2022-06-17,US_HY,5Y,576.2975,38,CDXHY538 BEST Curncy
15116,2022-06-17,US_HY,3Y,576.592,38,CDXHY338 BEST Curncy
15115,2022-06-17,US_IG,5Y,100.371,38,CDXIG538 Curncy
15127,2022-06-20,US_IG,5Y,100.204,38,CDXIG538 Curncy
15128,2022-06-20,US_HY,3Y,576.816,38,CDXHY338 BEST Curncy
15129,2022-06-20,US_HY,5Y,577.2691,38,CDXHY538 BEST Curncy
15130,2022-06-20,US_HY,7Y,613.106,38,CDXHY738 BEST Curncy
15131,2022-06-20,US_HY,10Y,615.492,38,CDXHY038 BEST Curncy
15143,2022-06-21,US_HY,10Y,596.123,38,CDXHY038 BEST Curncy
