,04650NAB0,984121CL5,577081AU6,12527GAF0,92553PAP7,28370TAD1,205887BN1,37045VAF7,428236BR3,959802AM1,77340RAM9,24702RAM3,887317AP0,418056AS6,50076QAE6,156700AT3,747262AM5,134429AZ2,96332HCG2,63938CAJ7,50247VAB5,889184AE7
2018-02-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.06666666666666667,,,,,
2018-03-01,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,,,,
2018-04-01,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,,,,,
2018-05-01,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,,,,,
2018-06-01,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,,0.0625,0.0625,,,,
2018-07-01,0.0625,0.0625,0.0625,,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,,,
2018-08-01,0.0625,0.0625,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,,,
2018-09-01,0.0625,0.0625,0.0625,,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,,,
2018-10-01,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,,
2018-11-01,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,,
2018-12-01,0.0625,0.0625,,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,,0.0625,0.0625,,0.0625,0.0625,
2019-01-01,,0.0625,,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,,
2019-02-01,,0.0625,0.0625,,0.0625,0.0625,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,,0.0625,
2019-03-01,,0.0625,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,,0.0625,
2019-04-01,,0.0625,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,,0.0625,0.0625,0.0625,,0.0625,
2019-05-01,,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705
2019-06-01,,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705
2019-07-01,,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,,0.058823529411764705
2019-08-01,,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,,0.058823529411764705,0.058823529411764705
2019-09-01,,0.0625,,,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,,0.0625,0.0625,0.0625,,0.0625,
2019-10-01,,0.07142857142857142,,,,0.07142857142857142,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,0.07142857142857142,,0.07142857142857142,
2019-11-01,,0.06666666666666667,0.06666666666666667,,,0.06666666666666667,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,,0.06666666666666667,,0.06666666666666667,
